Id,FullName,Country,GroupID
M28136,Etelka BARSI-PATAKY,Hungary,PPE-DE
M28234,Angelika BEER,Germany,Verts/ALE
M4442,Niels BUSK,Denmark,ALDE
M28216,Šarūnas BIRUTIS,Lithuania,ALDE
M34174,Iles BRAGHETTO,Italy,PPE-DE
M1059,Hiltrud BREYER,Germany,Verts/ALE
M4298,André BRIE,Germany,GUE/NGL
M28268,Danutė BUDREIKAITĖ,Lithuania,ALDE
M4504,Kathalijne Maria BUITENWEG,Netherlands,Verts/ALE
M4740,Marco CAPPATO,Italy,ALDE
M1973,Carlos CARNERO GONZÁLEZ,Spain,PSE
M28459,Giuseppe CASTIGLIONE,Italy,PPE-DE
M28979,Giusto CATANIA,Italy,GUE/NGL
M2110,Charlotte CEDERSCHIÖLD,Sweden,PPE-DE
M28973,Giulietto CHIESA,Italy,PSE
M36748,Antonio DE BLASIO,Hungary,PPE-DE
M28270,Arūnas DEGUTIS,Lithuania,ALDE
M28315,Petr DUCHOŇ,Czechia,PPE-DE
M28197,Árpád DUKA-ZÓLYOMI,Slovakia,PPE-DE
M28401,Maria da Assunção ESTEVES,Portugal,PPE-DE
M2099,Robert EVANS,United Kingdom,PSE
M4469,Claudio FAVA,Italy,PSE
M2012,Fernando FERNÁNDEZ MARTÍN,Spain,PPE-DE
M4336,Janelly FOURTOU,France,ALDE
M1113,Jas GAWRONSKI,Italy,PPE-DE
M1061,Lissy GRÖNER,Germany,PSE
M28411,Ignasi GUARDANS CAMBÓ,Spain,ALDE
M31730,Joel HASSE FERREIRA,Portugal,PSE
M28350,Jana HYBÁŠKOVÁ,Czechia,PPE-DE
M1,Georg JARZEMBOWSKI,Germany,PPE-DE
M2123,Glenys KINNOCK,United Kingdom,PSE
M28209,Anne LAPERROUZE,France,ALDE
M4384,Alain LIPIETZ,France,Verts/ALE
M28142,Nils LUNDGREN,Sweden,IND/DEM
M4501,Jules MAATEN,Netherlands,ALDE
M28317,Jamila MADEIRA,Portugal,PSE
M23745,Eugenijus MALDEIKIS,Lithuania,UEN
M1898,Erika MANN,Germany,PSE
M4303,Helmuth MARKOV,Germany,GUE/NGL
M4452,Sérgio MARQUES,Portugal,PPE-DE
M4559,Maria MARTENS,Netherlands,PPE-DE
M966,Jean-Claude MARTINEZ,France,NonAttached
M28375,Jan Tadeusz MASIEL,Poland,UEN
