Id,FullName,Country,GroupID
M97230,Kristiina OJULAND,Estonia,ALDE
M96783,Wojciech Michał OLEJNICZAK,Poland,S&D
M1122,Ria OOMEN-RUIJTEN,Netherlands,PPE
M23819,Csaba ŐRY,Hungary,PPE
M23705,Miroslav OUZKÝ,Czechia,ECR
M26829,Siiri OVIIR,Estonia,ALDE
M1191,Doris PACK,Germany,PPE
M28279,Justas Vincas PALECKIS,Lithuania,S&D
M97007,Chrysoula PALIADELI,Greece,S&D
M97197,Alfredo PALLONE,Italy,PPE
M38602,Vladko Todorov PANAYOTOV,Bulgaria,ALDE
M97050,Antigoni PAPADOPOULOU,Cyprus,S&D
M96900,Georgios PAPANIKOLAOU,Greece,PPE
M34234,Antonyia PARVANOVA,Bulgaria,ALDE
M96654,Jaroslav PAŠKA,Slovakia,EFD
M96902,Maria do Céu PATRÃO NEVES,Portugal,PPE
M96989,Andrés PERELLÓ RODRÍGUEZ,Spain,S&D
M96890,Mario PIRILLO,Italy,S&D
M39317,Anni PODIMATA,Greece,S&D
M2229,Bernd POSSELT,Germany,PPE
M1253,Hans-Gert PÖTTERING,Germany,PPE
M96658,Konstantinos POUPAKIS,Greece,PPE
M28370,Vittorio PRODI,Italy,S&D
M23782,Jacek PROTASIEWICZ,Poland,PPE
M96994,Fiorello PROVERA,Italy,EFD
M1906,Bernhard RAPKAY,Germany,S&D
M96925,Sylvana RAPTI,Greece,S&D
M96875,Britta REIMERS,Germany,ALDE
M96686,Mitro REPO,Finland,S&D
M28349,Teresa RIERA MADURELL,Spain,S&D
M97229,Niccolò RINALDI,Italy,ALDE
M97199,Crescenzio RIVELLINI,Italy,PPE
M28352,Zuzana ROITHOVÁ,Czechia,PPE
M96990,Carmen ROMERO LÓPEZ,Spain,S&D
M28409,Raül ROMEVA i RUEDA,Spain,Verts/ALE
M96819,Licia RONZULLI,Italy,PPE
M96664,Anna ROSBACH,Denmark,ECR
M97196,Oreste ROSSI,Italy,PPE
M1183,Dagmar ROTH-BEHRENDT,Germany,S&D
M23707,Libor ROUČEK,Czechia,S&D
M96988,Alfreds RUBIKS,Latvia,GUE/NGL
M4294,Heide RÜHLE,Germany,Verts/ALE
M96889,Potito SALATTO,Italy,PPE
M28295,Antolín SÁNCHEZ PRESEDO,Spain,S&D
M96746,Marie-Thérèse SANCHEZ-SCHMID,France,PPE
M4423,Amalia SARTORI,Italy,PPE
M97308,Vilja SAVISAAR-TOOMAST,Estonia,ALDE
M28139,Carl SCHLYTER,Sweden,Verts/ALE
M4274,Olle SCHMIDT,Sweden,ALDE
M1930,Horst SCHNELLHARDT,Germany,PPE
M96827,Birgit SCHNIEBER-JASTRAM,Germany,PPE
